Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10040\trunk\production_files\400150_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       28.09.21
Time:       09:29
Revision:   21838
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW7","CAS-220TA","TopLayer","CAS-220TA","40.5246","23.0632","0","Slide Switch DPDT J Hook"
"LED5","L0603G","TopLayer","LED_0603_G","24.9723","20.5511","90","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"Bat1","Bat Holder CR2032","BottomLayer","L-KLS5-CR2032-23-B1","11.2027","32.3910","90","Bat Holder CR2032 SMD"
"P12","Pin List 1x9","BottomLayer","LIST_1x9_SMD-NC","78.7400","55.8699","180","Pin List 1x9, 2.54mm (100mil), SMD"
"P24","Socket 1x8","BottomLayer","LIST_1x8_SMD-NC","27.6860","45.7098","0","Socket 1x8, 2.54mm (100mil), SMD"
"TP8","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","49.5300","26.6497","0","1.0mm circular SMD testpad"
"TP7","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","49.5300","24.1097","0","1.0mm circular SMD testpad"
"TP6","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","46.9900","26.6497","0","1.0mm circular SMD testpad"
"TP5","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","46.9900","24.1097","0","1.0mm circular SMD testpad"
"U9","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","47.5960","17.4498","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U8","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","51.6382","17.4498","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U10","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","43.5039","17.4498","0","Low-ohmic four-pole double-throw analog switch"
"TP20","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","45.4406","22.4282","0","1.0mm circular SMD testpad"
"TP21","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","36.9824","16.3576","0","1.0mm circular SMD testpad"
"SB45","Solderbridge","TopLayer","Solderbridge","38.5826","17.7546","180","Solderbridge"
"SB44","Solderbridge","TopLayer","Solderbridge","43.8658","14.0970","270","Solderbridge"
"SB42","Solderbridge","TopLayer","Solderbridge","39.9796","14.0970","270","Solderbridge"
"SB43","Solderbridge","TopLayer","Solderbridge","42.5704","14.0970","270","Solderbridge"
"R59","0R","TopLayer","RESC1005X04L","34.6290","15.2234","180","Resistor, ±5%, 0.063W"
"R52","0R","TopLayer","RESC1005X04L","31.2420","15.2234","180","Resistor, ±5%, 0.063W"
"R53","0R","TopLayer","RESC1005X04L","47.4726","22.4282","180","Resistor, ±5%, 0.063W"
"R54","0R","TopLayer","RESC1005X04L","38.0238","15.2234","180","Resistor, ±5%, 0.063W"
"R55","0R","TopLayer","RESC1005X04L","28.3959","14.6010","90","Resistor, ±5%, 0.063W"
"R7","0R","TopLayer","RESC1005X04L","51.4858","25.3492","180","Resistor, ±5%, 0.063W"
"R18","0R","TopLayer","RESC1005X04L","47.4726","25.3492","180","Resistor, ±5%, 0.063W"
"R56","0R","TopLayer","RESC1005X04L","51.5874","28.3972","180","Resistor, ±5%, 0.063W"
"R58","0R","TopLayer","RESC1005X04L","47.4726","28.3972","180","Resistor, ±5%, 0.063W"
"C54","100nF","TopLayer","CAPC1005X04L","48.5902","19.8120","180","Capacitor, X7R, ±10%"
"C14","100nF","TopLayer","CAPC1005X04L","50.4952","15.0876","0","Capacitor, X7R, ±10%"
"C55","100nF","TopLayer","CAPC1005X04L","44.5770","19.8120","180","Capacitor, X7R, ±10%"
"R27","N.C.","TopLayer","RESC1005X04L_NC","68.6522","25.4406","0","Not mounted"
"R28","N.C.","TopLayer","RESC1005X04L_NC","70.5318","25.4406","180","Not mounted"
"R26","0R","TopLayer","RESC1005X04L","70.5318","24.6024","180","Resistor, ±5%, 0.063W"
"R25","0R","TopLayer","RESC1005X04L","68.6522","24.6024","0","Resistor, ±5%, 0.063W"
"U5","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","93.7006","49.8348","0","Low-ohmic four-pole double-throw analog switch"
"U7","PCAL6408A","TopLayer","XQFN40P180X260X50-16N","54.1004","46.2280","180","8-bit I2C-bus I/O expander with interrupt output"
"U6","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","46.8026","46.1968","180","Low-ohmic four-pole double-throw analog switch"
"U4","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","82.7955","13.5128","270","Low-ohmic four-pole double-throw analog switch"
"TP15","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","52.0700","24.1198","90","1.0mm circular SMD testpad"
"SB18","Solderbridge","TopLayer","Solderbridge","69.0448","37.6428","0","Solderbridge"
"R39","1M0","TopLayer","RESC1005X04L","62.9666","38.0746","180","Resistor, ±1%, 0.063W"
"R38","0R","TopLayer","RESC1005X04L","55.6432","43.0218","180","Resistor, ±5%, 0.063W"
"R37","N.C.","TopLayer","RESC1005X04L_NC","54.6432","43.0218","180","Not mounted"
"R36","100k","TopLayer","RESC1005X04L","57.0214","48.4282","180","Resistor, ±1%, 0.063W"
"R35","100k","TopLayer","RESC1005X04L","57.0214","47.3614","180","Resistor, ±1%, 0.063W"
"R34","100k","TopLayer","RESC1005X04L","57.0214","46.2946","180","Resistor, ±1%, 0.063W"
"R33","100k","TopLayer","RESC1005X04L","57.0214","45.2278","180","Resistor, ±1%, 0.063W"
"R32","18k","TopLayer","RESC1005X04L","57.0214","44.1610","180","Resistor, ±1%, 0.063W"
"R31","18k","TopLayer","RESC1005X04L","50.7141","47.6446","180","Resistor, ±1%, 0.063W"
"R30","4k7","TopLayer","RESC1005X04L","50.7141","46.7556","180","Resistor, ±1%, 0.063W"
"R29","4k7","TopLayer","RESC1005X04L","50.7141","45.8666","180","Resistor, ±1%, 0.063W"
"C47","100nF","TopLayer","CAPC1005X04L","53.5176","43.8854","0","Capacitor, X7R, ±10%"
"C46","100nF","TopLayer","CAPC1005X04L","46.1850","43.8346","0","Capacitor, X7R, ±10%"
"C45","100nF","TopLayer","CAPC1005X04L","93.3958","52.1716","0","Capacitor, X7R, ±10%"
"C44","100nF","TopLayer","CAPC1005X04L","85.1577","13.9446","270","Capacitor, X7R, ±10%"
"TP11","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","54.6100","16.4998","90","1.0mm circular SMD testpad"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","61.2648","20.8222","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C43","300pF","TopLayer","CAPC1005X04L","70.5357","23.7489","180","Capacitor, C0G, ±5%, 50V"
"C42","300pF","TopLayer","CAPC1005X04L","68.6561","23.7489","180","Capacitor, C0G, ±5%, 50V"
"TP13","TP","TopLayer","TESTPAD-TH","3.8862","61.7372","0","Testpoint, through hole"
"TP12","TP","TopLayer","TESTPAD-TH","11.6724","1.2594","0","Testpoint, through hole"
"P20","Pin List 1x8","TopLayer","LIST_1x8_SMD","27.6860","45.7098","0","Pin List 1x8, 2.54mm (100mil), SMD"
"U1","nRF52832-QFAAG0","TopLayer","QFN40P600X600X90-48N","82.4348","32.2113","0","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip"
"J3","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","48.2600","35.5498","90","CBL PLUG-OF-NAILS 10-PIN"
"SB4","Solderbridge","TopLayer","Solderbridge","75.7174","44.6354","90","Solderbridge"
"SB3","Solderbridge","TopLayer","Solderbridge","73.5584","44.6354","90","Solderbridge"
"LED4","L0603G","TopLayer","LED_0603_G","86.3599","43.0275","0","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"LED3","L0603G","TopLayer","LED_0603_G","80.0099","43.0275","0","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"LED2","L0603G","TopLayer","LED_0603_G","86.3599","46.8375","0","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"LED1","L0603G","TopLayer","LED_0603_G","80.0099","46.8375","0","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"C15","1.2pF","TopLayer","CAPC1005X04L","94.4594","32.5161","90","Capacitor, NP0, ±0.1pF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","92.5036","31.7033","90","Coaxial Connector with Switch"
"P17","Pin Header 2x9","TopLayer","HDR_2x9-NC","78.7400","60.9499","180","Pin Header 2x9, 2.54mm (100mil)"
